Sr No,Date,Remarks,Debit,Credit,Balance Amount
1,4/2/2024,UPI/123456789012/CR/JOHN/ABCD/sample123/UPI,,300,50000.00
2,4/2/2024,UPI/234567890123/DR/ALICE/EFGH/456789123/Sent f,2100,,47900.00
3,4/3/2024,UPI/345678901234/DR/TELECOM/IJKL/telecom01/UPIInt,301,,47599.00
4,4/3/2024,UPI/456789012345/DR/Mobile/MNOP/mobileser/Airtel,301,,47298.00
5,4/5/2024,D01UPI/345678901234/030424/RRC,,301,47599.00
6,4/10/2024,UPI/567890123456/DR/SARAH/QRST/Q12345678/UPI,75,,47524.00
7,4/10/2024,UPI/678901234567/CR/David/UVWX/123456789/Paymen,,15,47539.00
8,4/13/2024,UPI/789012345678/DR/ROBERT/YZAB/Q98765432/UPI,50,,47489.00
9,4/21/2024,UPI/890123456789/DR/JAMES/CDEF/111222333/NA,200,,47289.00
10,4/27/2024,UPI/901234567890/DR/Emily/GHIJ/444555666/NA,500,,46789.00
11,4/28/2024,UPI/012345678901/CR/JAMES/KLMN/sample999/UPI,,410,47199.00
12,4/29/2024,UPI/112233445566/DR/MARIA/OPQR/777888999/NA,100,,47099.00
13,5/2/2024,123456789000012:SBInt.Pd:01-02-2024 to 30-04-2024,,1312,48411.00
14,5/2/2024,UPI/223344556677/DR/Thomas/STUV/222333444/NA,60,,48351.00
15,5/3/2024,UPI/334455667788/DR/PETER/WXYZ/q11112222/NA,68,,48283.00
16,5/4/2024,SMSChrgsJAN-MAR24+GST+G CUST 123456789,17.7,,48265.30
17,5/6/2024,UPI/445566778899/DR/ROBERT/ABCD/q33334444/NA,35,,48230.30
18,5/6/2024,UPI/556677889900/DR/ROBERT/EFGH/q33334444/NA,20,,48210.30
19,5/6/2024,UPI/667788990011/CR/ALICE/IJKL/alicetest/UPI,,20,48230.30
20,5/9/2024,UPI/778899001122/DR/DANIEL/MNOP/paytm-111/NA,30,,48200.30
21,5/9/2024,UPI/889900112233/DR/Frank/QRST/gpay-2222/NA,90,,48110.30
22,5/9/2024,UPI/990011223344/CR/Emily/UVWX/emilytest/UPI,,120,48230.30
23,5/9/2024,UPI/100112233445/DR/Smt La/WXYZ/gpay-3333/NA,40,,48190.30
24,5/9/2024,UPI/211223344556/CR/ALICE/ABCD/alicetest/UPI,,30,48220.30
25,5/15/2024,UPI/322334455667/CR/JENNY/EFGH/jennytest/UPI,,500,48720.30
26,5/17/2024,RENEWAL - ABCD123456789170524,436,,48284.30
27,5/17/2024,UPI/433445566778/CR/KEVIN/IJKL/555666777/Paymen,,1,48285.30
28,5/17/2024,UPI/544556677889/CR/KEVIN/MNOP/555666777/Paymen,,500,48785.30
29,5/17/2024,UPI/655667788990/CR/MARK/QRST/888999000/Paymen,,501,49286.30
30,5/17/2024,UPI/766778899001/DR/TRAVEL/UVWX/travel.co/IRCTC,658.6,,48627.70
